-1003,496,1362,-5720,5128,-1813,
-1407,521,1450,-5391,4009,-2098,
-1480,616,1458,-5181,2768,-2569,
-1211,757,1404,-5373,2107,-3326,
-818,837,1316,-5943,2106,-3225,
-534,802,1301,-6778,2681,-2604,
-566,617,1207,-7422,3430,-2049,
-849,426,1124,-7868,3954,-1934,
-1258,282,999,-8211,4082,-2615,
-1760,127,968,-8595,3685,-3163,
-2131,-52,974,-8992,2832,-3275,
-2313,-324,961,-9270,1741,-3817,
-2313,-769,983,-9424,654,-4507,
-2177,-1454,980,-8912,-434,-3991,
-1966,-2095,1010,-7724,-1269,-2898,
-1745,-2508,1027,-6024,-1574,-2986,
-1665,-2586,978,-4210,-1886,-2692,
-1706,-2244,1055,-2867,-2142,-2529,
-1822,-1649,1089,-2341,-2568,-2920,
-1907,-1064,1152,-2639,-3348,-3082,
-1885,-683,1173,-3643,-4387,-2616,
-1783,-744,1184,-4942,-5214,-2796,
-1603,-1403,1240,-5658,-6250,-2862,
-1196,-2502,1107,-4345,-7408,-1864,
-588,-3313,1112,-1900,-7711,-2299,
47,-3552,946,1247,-6949,-3487,
578,-3038,1170,3483,-5608,-2127,
617,-2013,1241,4441,-4153,-606,
121,-754,1288,3878,-3163,-880,
-609,271,1319,1867,-2960,-1388,
-1401,704,1385,-1229,-3798,-951,
-1932,104,1403,-4510,-5655,-1432,
-1934,-1417,649,-4926,-7887,-2744,
-1407,-3106,959,-3999,-9816,-3554,
-296,-4832,628,-384,-10947,-3403,
1134,-5808,510,4669,-9917,-3791,
2319,-5738,318,10232,-7545,-4559,
2673,-4388,532,14627,-4939,-976,
2197,-2071,594,15841,-3256,2279,
1280,113,655,14620,-2622,-366,
699,1491,864,11580,-2688,-1813,
456,1946,1066,7601,-3215,342,
325,1445,1394,3915,-3854,-261,
488,-62,1278,2491,-4243,-2217,
1015,-1902,1169,4023,-4330,-2327,
1648,-3239,1176,7293,-3820,-1558,
2195,-3693,593,12422,-2331,-1881,
2346,-2537,329,16736,-674,-1077,
1960,-274,182,18320,128,966,
1262,2281,352,16828,-110,1181,
744,4336,659,12849,-738,-163,
661,5407,1143,6965,-1776,449,
770,5076,1715,571,-2489,600,
1097,3287,1717,-3452,-2696,-1824,
1735,671,1474,-3249,-2399,-2411,
2500,-1537,1395,355,-1277,-1288,
3052,-2482,1318,5947,729,-1146,
3238,-1782,1137,11063,3087,-1494,
3164,327,1097,12747,5800,-2419,
2457,2337,911,11867,7575,115,
1319,4195,968,8580,8117,873,
27,5223,1219,3788,7298,-592,
-917,5080,1233,-959,5112,-571,
-1186,3999,1510,-4772,2622,-1277,
-605,2173,1296,-5927,997,-3347,
493,424,1347,-4662,718,-2994,
1581,-502,1532,-2115,1848,-1987,
2237,-599,1715,355,3903,-1384,
2258,-188,1578,2457,6242,-340,
1559,590,1428,3543,7945,631,
513,1342,1306,3641,8473,1437,
-669,2235,1444,2505,7655,1170,
-1510,2688,1293,881,5772,-802,
-399,1968,1532,-2640,1849,-1763,
-226,1869,1530,-2850,1704,-2090,
754,1388,1547,-2640,2312,-1891,
1488,1175,1522,-2192,4023,-1238,
1626,1248,1484,-2089,6194,-204,
1073,1428,1366,-2350,8060,788,
63,1616,1257,-2930,8937,382,
-1065,1628,1152,-3585,8692,-330,
-2100,1536,1189,-4019,7100,-606,
-2603,1448,1325,-4640,4908,-1972,
-2521,1211,1334,-4765,2736,-2833,
-1835,1079,1465,-4673,1254,-2978,
-898,1144,1551,-4598,896,-3586,
5,1275,1539,-4782,1675,-3334,
531,1414,1509,-5545,3158,-1794,
462,1463,1331,-6388,4697,-978,
-47,1365,1309,-7285,5902,-1384,
-838,1091,1241,-8237,6362,-1507,
-1668,559,1126,-8832,6022,-1581,
-2402,-196,1020,-8695,4907,-2262,
-2842,-981,1028,-7444,3098,-3384,
-2856,-1467,1259,-5745,1132,-3869,
-2492,-1552,1421,-4027,-331,-3776,
-1964,-1324,1456,-2618,-1090,-3358,
-1495,-859,1493,-1825,-1268,-2687,
-1273,-312,1523,-1977,-1085,-1665,
-1334,120,1508,-2593,-930,-1754,
-1531,317,1467,-3491,-959,-2330,
-1745,248,1373,-4317,-1420,-1834,
-1850,90,1379,-4861,-2367,-1536,
-1768,-117,1320,-5186,-3054,-2497,
-1460,-339,1270,-5291,-3331,-3523,
-1317,-523,1399,-5887,-3770,-1405,
-1270,-973,1590,-6203,-4155,-1335,
-1078,-1899,1504,-5353,-4537,-3336,
-627,-2846,1243,-2593,-4516,-3120,
-220,-2662,1391,222,-4053,-2337,
-143,-1625,1600,1319,-3501,-1328,
-172,-735,1912,564,-2811,-2370,
-492,-855,1698,67,-2148,-2040,
-994,-939,1134,626,-2220,-610,
-1551,-107,1369,-327,-2664,-2172,
-1868,496,1721,-3312,-3982,-3486,
-1598,-332,1753,-5675,-5780,-5760,
-712,-2482,1359,-4896,-6713,-6517,
376,-4274,1081,-758,-6795,-3330,
1324,-4226,1388,3835,-5501,-1773,
1330,-2519,1336,5909,-3962,2420,
605,-321,1768,4507,-3190,3369,
-129,614,1901,1598,-3449,-339,
-432,-173,1634,-561,-4128,-636,
-402,-1677,1561,-835,-4901,158,
-187,-3095,1218,1937,-5259,-197,
-34,-3151,1323,5045,-5630,1454,
143,-2150,1501,6324,-5908,1515,
398,-1235,1446,6363,-6207,-807,
950,-596,1097,5113,-6731,566,
1578,-750,1972,3594,-6113,1727,
2222,-1465,1188,5516,-3790,-2615,
2101,-1425,1683,5925,-1954,366,
1494,-958,1084,6879,-1022,4154,
298,520,1529,6248,-2594,1824,
162,1469,1795,4070,-4765,-1541,
1321,1120,1880,1868,-4115,-1862,
2362,-83,1966,2218,-1384,-1840,
2210,-1221,1998,3735,2042,1029,
1026,-1490,1475,5720,2757,1653,
-125,-1244,1389,6254,1332,2192,
-912,-933,1512,8104,-395,-21,
-793,-194,1222,9251,-2057,-3672,
108,848,1334,8772,-3807,-2456,
1521,1880,1687,6472,-3256,-895,
2154,1811,1479,5579,-1534,-598,
3538,2194,2730,3280,1768,-2711,
3873,-266,1472,4096,6041,5571,
962,-649,1149,7326,6504,8351,
-2319,862,1389,7077,2044,1786,
-1745,1604,1649,4629,-2139,-4358,
1214,899,1523,3322,-2311,-1949,
2028,229,1564,3873,-372,1558,
998,436,1688,4605,196,1189,
662,625,1444,5523,-272,-1221,
1065,1110,1502,5654,-423,-1861,
1372,1536,1604,4954,0,-1569,
1360,1455,1495,4849,665,-2376,
1130,1732,1429,4106,236,-1172,
1373,1866,1562,3022,387,-401,
1601,1682,1646,2703,1725,-639,
1501,1568,1594,2499,3168,-169,
1226,1556,1386,2708,4099,51,
