0,-32,-234,2018,-48,652,458,
0,-103,-254,2022,2,661,452,
0,-160,-249,2025,60,642,445,
0,-206,-226,2003,72,563,439,
0,-212,-204,1971,76,457,408,
0,-225,-180,1941,105,358,348,
0,-228,-153,1908,155,230,255,
0,-244,-131,1903,154,88,171,
0,-260,-127,1925,128,-74,120,
0,-274,-144,1952,128,-221,33,
0,-279,-150,1984,154,-323,-74,
0,-261,-140,2002,163,-411,-172,
0,-228,-127,2011,123,-501,-263,
0,-169,-114,2016,81,-576,-302,
0,-121,-115,2017,45,-602,-341,
0,-81,-114,2037,3,-606,-391,
0,-55,-137,2072,-57,-574,-418,
0,-42,-158,2112,-105,-516,-431,
0,-19,-194,2141,-135,-429,-412,
0,12,-215,2159,-168,-322,-366,
0,41,-219,2153,-217,-198,-331,
0,69,-226,2140,-237,-70,-278,
0,97,-237,2114,-250,66,-220,
0,91,-245,2104,-259,189,-126,
0,81,-262,2096,-284,283,-19,
0,43,-296,2101,-278,388,53,
0,16,-320,2091,-218,490,121,
0,-16,-324,2071,-156,563,179,
0,-49,-316,2044,-121,584,250,
0,-57,-299,2008,-96,567,326,
0,-72,-284,1958,-40,546,356,
0,-98,-268,1941,45,509,372,
0,-147,-261,1939,103,427,379,
0,-180,-252,1938,144,324,380,
0,-217,-253,1954,202,216,376,
0,-242,-231,1951,261,108,329,
0,-246,-209,1950,302,0,265,
0,-235,-174,1939,324,-115,204,
0,-211,-147,1944,327,-231,139,
0,-193,-116,1956,313,-336,81,
0,-185,-111,1988,282,-417,24,
0,-179,-116,2025,237,-476,-56,
0,-167,-116,2066,194,-490,-137,
0,-147,-108,2090,154,-489,-208,
0,-107,-103,2100,89,-469,-252,
0,-66,-103,2110,-11,-428,-283,
0,-25,-96,2116,-92,-363,-312,
0,-7,-104,2120,-154,-282,-332,
0,8,-175,2149,-308,-75,-312,
0,11,-188,2154,-360,15,-286,
0,18,-213,2145,-370,132,-258,
0,15,-231,2127,-384,239,-221,
0,20,-251,2099,-395,319,-166,
0,22,-261,2064,-392,389,-109,
0,10,-276,2031,-361,438,-39,
0,-19,-300,2016,-311,454,19,
0,-60,-318,2009,-223,367,53,
0,446,163,93,-768,-443,480,
0,-161,-292,1847,6,-418,253,
0,-748,-820,2397,1326,-790,-872,
0,412,383,1805,-555,441,262,
0,-49,26,2684,-785,-350,-288,
0,-61,11,2296,-32,-924,-560,
0,-279,45,2269,-732,-186,403,
0,-263,-451,2381,-828,711,85,
0,-112,-538,2606,-254,322,-682,
0,-61,-455,2337,-356,34,-968,
0,-81,-214,1976,-1088,516,-186,
0,-80,-99,1988,-774,688,76,
0,-91,-163,2142,-31,303,-435,
0,-188,-222,2141,-573,268,-539,
0,-220,-294,2091,-1345,570,-333,
0,-156,-338,2061,-715,530,-580,
0,-176,-245,2043,-122,242,-783,
0,-219,-205,2029,-698,267,-473,
