-371,-365,1559,-2278,928,-2497,
-1074,855,1955,-3663,468,-1087,
-1650,216,1656,-3643,-519,-2743,
-1212,-49,1623,-2821,-929,-2044,
-1247,393,1743,-3087,-1300,-1167,
-1278,502,1697,-3663,-1608,-741,
-1246,409,1500,-3805,-2302,824,
-428,859,1570,-4397,-629,-1774,
433,1331,1851,-5470,2106,-5385,
-1799,-929,1803,-3839,-304,-3067,
-693,-432,1490,-1787,-488,-1263,
-1119,206,1908,-1968,-683,-995,
-1496,344,1515,-2989,-876,-3112,
-1144,54,1762,-3689,-627,-4960,
-787,-629,1567,-2970,-332,-3950,
-1008,-499,1677,-2474,-74,-3909,
-1115,-416,1819,-2701,-118,-4538,
-691,-788,1764,-2398,-149,-2693,
-777,-750,1800,-2028,-74,-984,
-1002,-519,1751,-1993,-195,-923,
-815,-639,1716,-1815,-249,-494,
-684,-672,1707,-1441,-142,401,
-814,-284,1789,-1689,-243,200,
-828,-274,1677,-2103,-507,-459,
-951,-725,1531,-2117,-889,-724,
-908,-826,1277,-1852,-1173,-1207,
-875,-797,1695,-1967,-1698,-1661,
-679,-1177,1956,-1552,-1999,-1510,
-597,-1374,1980,-1091,-2160,-750,
-760,-1343,1768,-559,-2463,-341,
-713,-1217,1641,-448,-2572,-110,
-693,-1329,1727,-581,-2482,-12,
-409,-1531,1839,132,-2274,414,
-194,-1178,2029,586,-2227,795,
-104,-1164,1942,992,-2270,821,
-177,-1193,1929,1485,-2270,1035,
-182,-1154,1777,1559,-2169,1298,
-382,-1378,1700,1706,-2008,1897,
-537,-1243,1936,1166,-1887,1847,
-402,-1135,1829,695,-1878,1780,
-486,-1408,1835,591,-1993,2038,
-308,-1658,1789,972,-1990,2727,
-144,-1637,1985,1323,-1822,3608,
-67,-1381,2022,1665,-1897,4080,
8,-1189,1846,2072,-2079,4298,
-206,-1122,1883,2377,-2225,3988,
-96,-1033,1778,2802,-2312,3736,
-156,-846,1845,2798,-2390,3414,
-79,-886,1755,3472,-2638,3326,
-21,-814,1825,4301,-3271,4143,
54,-660,1745,4563,-3167,4208,
177,-487,1769,4664,-2792,4286,
343,-311,1721,5002,-2533,4579,
