-22,88,2003,911,481,885,
-39,135,2015,1253,588,989,
-71,293,2021,1216,598,887,
-88,393,2061,933,529,627,
30,321,2040,855,630,511,
132,260,1993,1087,837,645,
88,591,2138,514,880,278,
-44,432,2035,-291,618,770,
-100,58,1941,61,513,633,
60,99,2018,349,703,684,
168,187,1989,729,1263,695,
-36,398,2015,466,1290,1329,
-221,253,1925,806,1034,909,
-12,455,1992,824,1179,847,
-42,416,1970,972,1439,781,
-137,490,1945,1156,1479,1036,
-56,480,1876,1687,1856,874,
-115,742,1956,1692,2073,942,
-410,937,1906,1255,1706,596,
-323,995,1920,752,1463,172,
-179,898,1871,755,1706,58,
-235,957,1901,770,2079,-183,
-331,1102,1884,474,2285,-563,
-315,1220,1897,94,2511,-724,
-617,1232,1819,-147,2175,-985,
-476,1354,1890,-628,2161,-1450,
-454,1168,1857,-856,2466,-1784,
-527,1090,1828,-932,2725,-2111,
-694,1137,1834,-1313,2633,-1823,
-889,1134,1798,-1561,2261,-2366,
-781,1211,1828,-2125,2123,-2663,
-808,1059,1752,-2305,2091,-2879,
-860,1050,1801,-2652,2008,-3075,
-908,996,1749,-3045,1870,-3329,
-932,935,1719,-3433,1777,-3563,
-926,843,1693,-3748,1698,-3746,
-1006,659,1620,-3883,1569,-4081,
-1042,494,1689,-4092,1355,-4504,
-1060,103,1667,-3953,1165,-4552,
-1088,-178,1677,-3530,911,-4283,
-1114,-348,1705,-2996,694,-3817,
-1180,-323,1704,-2505,423,-3379,
-1227,-210,1725,-2275,42,-3089,
-1246,-170,1634,-2135,-267,-2932,
-1249,-97,1402,-2107,-537,-3098,
-1315,53,1453,-2530,-846,-3595,
-1206,-157,1376,-2561,-809,-3991,
-1218,-132,1424,-2677,-1089,-4221,
-1245,-204,1554,-3173,-1508,-5108,
-1035,-819,1652,-2868,-1790,-4918,
-747,-1227,1738,-1921,-1694,-3760,
-762,-1326,1826,-1045,-1596,-2992,
-774,-1412,1871,-459,-1741,-2234,
-689,-1536,1770,204,-1895,-1183,
-908,-1259,1786,149,-2245,-783,
-640,-1206,1736,-37,-1970,-614,
-744,-1085,1605,211,-2290,-303,
-850,-850,1786,-468,-2730,-940,
-435,-1222,1761,-284,-2613,-416,
-431,-1125,1862,-156,-2451,229,
-538,-977,1896,-484,-2575,-120,
-340,-1146,1876,-422,-2596,156,
-282,-1023,1929,-491,-2398,179,
-250,-1144,1821,-213,-2265,215,
-156,-1019,1912,-244,-2103,159,
-203,-1087,1900,-208,-2144,30,
-156,-1047,1924,-335,-2279,-91,
-90,-1061,1938,-471,-2448,-328,
108,-1211,1892,-354,-2355,-333,
225,-1285,1923,130,-2165,-40,
260,-1266,2000,407,-1932,191,
276,-1278,1993,666,-1780,362,
353,-1296,2016,936,-1622,623,
382,-1210,2013,1137,-1520,909,
400,-1095,2030,1329,-1451,1099,
459,-980,2041,1511,-1346,1371,
445,-788,2084,1722,-1263,1568,
493,-684,2095,1896,-1079,1681,
557,-617,2151,2029,-943,1899,
520,-663,2105,2313,-899,2215,
466,-721,1999,2825,-827,2535,
450,-683,1945,3352,-690,2774,
375,-645,1924,3862,-532,2795,
467,-562,1848,4174,-318,3078,
358,-505,1769,4344,-165,3487,
189,-280,1814,4122,-175,3376,
147,-309,1743,3912,-169,3270,
139,-144,1807,3372,-101,3196,
108,-266,1767,3049,-164,3100,
144,-249,1841,2617,-176,3193,
206,-360,1778,2632,-88,3372,
231,-278,1772,2667,28,3729,
254,-214,1778,3214,221,3842,
298,162,1775,3370,416,3865,
114,380,1780,3505,214,3422,
264,727,1750,3593,328,3196,
-61,1014,1808,3185,40,2562,
0,1021,1881,2889,-88,1847,
84,927,1924,2392,172,1871,
-42,758,1883,1999,326,1688,
-113,522,1809,1797,364,1798,
-106,438,1778,1893,409,1954,
-81,515,1786,1887,501,2037,
-198,500,1803,1739,353,2121,
-392,349,1816,1817,34,2047,
-317,440,1821,1707,-109,2177,
-388,278,1700,2100,-243,2245,
-395,446,1742,2334,-438,2281,
-328,466,1802,2681,-583,2368,
-320,726,1971,2716,-661,2316,
-258,658,1925,2942,-606,2364,
-289,752,1904,3266,-482,2481,
-328,1040,1853,3110,-395,2276,
-340,1242,1775,2670,-249,2109,
-455,1209,1751,1912,-168,1971,
-489,806,1681,1936,-193,2216,
-514,962,1700,1605,-219,2396,
-612,803,1605,1695,-568,2635,
-410,1033,1700,1578,-670,2737,
-430,1091,1843,1378,-688,2887,
-117,1459,1942,1263,-387,2837,
-186,1547,1743,1080,-347,2593,
-210,1822,1755,692,-474,2132,
-55,1839,1736,405,-438,1402,
-79,1849,1797,-47,-557,664,
40,1642,1878,-521,-566,136,
41,1337,1956,-582,-562,21,
109,1210,1971,-501,-650,161,
120,1234,2018,-437,-767,251,
180,1267,2072,-285,-766,395,
227,1473,2077,-194,-701,363,
221,1817,1937,-358,-787,-35,
306,2036,1822,-699,-825,-700,
390,2053,1741,-955,-726,-1462,
454,1903,1743,-1299,-519,-2114,
531,1801,1828,-1821,-364,-2677,
503,1368,1949,-2073,-368,-2879,
546,1336,2089,-2363,-334,-2813,
546,1158,2063,-2482,-355,-2605,
503,1114,2069,-2489,-482,-2401,
494,1247,2032,-2439,-629,-2414,
497,1504,2025,-2427,-781,-2685,
542,1769,1969,-2613,-880,-3428,
643,1750,1823,-3119,-886,-4305,
692,1257,1635,-3375,-767,-4803,
695,684,1725,-3271,-690,-4724,
655,473,1825,-3418,-794,-4327,
681,332,1830,-3597,-873,-3773,
685,413,1920,-4062,-924,-3381,
720,221,1905,-4255,-920,-3060,
516,127,1817,-4178,-1326,-2955,
752,152,1860,-4160,-1328,-2899,
810,58,1845,-3856,-1144,-2688,
706,97,1889,-3630,-1088,-2769,
780,135,1862,-3333,-895,-2795,
850,383,1876,-3478,-602,-3037,
919,476,1747,-3694,-177,-3387,
891,88,1813,-3843,112,-3726,
1025,-292,2024,-3655,343,-3477,
995,-338,2092,-3698,456,-3342,
1049,-655,2099,-3295,638,-2935,
1030,-584,2162,-3011,813,-2660,
1008,-527,2154,-2828,945,-2610,
993,-537,2143,-2577,1087,-2645,
936,-611,2029,-2273,1222,-2666,
844,-515,1991,-2189,1272,-2767,
847,-638,1907,-2051,1314,-2543,
715,-720,1882,-1808,1245,-2452,
685,-821,1911,-1560,1208,-2256,
620,-735,1993,-1495,1136,-2112,
619,-781,2026,-1557,1070,-2008,
653,-1036,2075,-1449,1112,-1619,
567,-1312,2024,-1210,1110,-1315,
621,-1550,1959,-750,1212,-648,
558,-1564,1981,-524,1282,-31,
387,-1447,1968,-527,1162,427,
489,-1675,1722,164,1308,1138,
374,-1255,1831,540,1549,1514,
404,-1128,1763,698,2014,1645,
187,-977,1704,1082,2012,1910,
199,-864,1692,1040,2060,1815,
205,-984,1669,1305,2284,2191,
-33,-902,1723,1351,2146,2336,
-35,-1093,1680,1925,2091,2708,
-112,-825,1540,2170,2249,2535,
-121,-989,1547,2742,2414,2918,
-155,-796,1670,3172,2548,3057,
-126,-645,1706,3687,2797,3744,
-257,-109,1617,3905,2839,3995,
-229,247,1538,3802,3040,3691,
-822,583,1445,3206,2177,3562,
-499,839,1595,2492,1729,3153,
-653,722,1549,2231,1137,2581,
-575,693,1695,1928,933,2355,
-597,752,1750,1813,698,2261,
-638,824,1729,1682,485,2074,
-608,905,1787,1561,512,1875,
-710,1166,1885,1241,372,1601,
-585,1271,1937,1069,374,1177,
-611,1247,1949,1025,305,822,
-507,1274,1926,826,621,373,
-765,1257,1816,863,352,-268,
-716,1273,1934,541,416,-789,
-707,1217,1994,336,438,-1080,
-769,1174,1980,45,482,-1333,
-840,1222,1986,-382,470,-1529,
-820,1177,1959,-748,605,-1603,
-836,1241,1997,-1190,738,-1640,
-837,1305,2032,-1637,839,-1820,
-771,1346,2085,-1946,1066,-2131,
-769,1418,2022,-2198,1261,-2481,
-739,1572,1867,-2634,1322,-3048,
-739,1541,1790,-3152,1238,-3738,
-689,1225,1840,-3575,1303,-4251,
-693,785,1732,-3610,1350,-4663,
-793,442,1637,-3836,1353,-4735,
-907,328,1534,-4166,1303,-4642,
-943,390,1529,-4948,1243,-4593,
-964,462,1467,-5793,1246,-4454,
-887,377,1201,-7405,1111,-5040,
-881,236,1169,-7480,1022,-5388,
-860,-476,1240,-7269,778,-5530,
-892,-1188,1261,-6809,380,-5174,
-788,-1627,1417,-6431,249,-4574,
-807,-1827,1486,-5958,176,-3857,
-860,-1915,1408,-5529,18,-3210,
-992,-1948,1285,-5192,-457,-2839,
-995,-1880,1299,-5134,-810,-2511,
-995,-1698,1256,-5222,-1194,-2129,
-939,-1764,1219,-4879,-1378,-2502,
-914,-1850,1351,-4841,-1999,-2032,
-680,-2047,1301,-4106,-2035,-2154,
-530,-2167,1360,-3719,-2259,-1510,
-504,-2422,1345,-3550,-2462,-1472,
-336,-2790,1354,-2938,-2492,-1003,
-279,-2811,1391,-2327,-2539,-327,
-320,-2685,1438,-1869,-2657,-257,
-185,-2729,1311,-1090,-2854,545,
-275,-2298,1347,-844,-3088,584,
-269,-2232,1338,-703,-3497,281,
-97,-2535,1257,90,-3739,850,
-25,-2443,1330,960,-3825,1389,
-12,-2242,1313,1564,-3953,1284,
55,-2203,1264,1896,-4036,1458,
28,-2211,1184,2130,-4151,1669,
79,-2088,1184,2212,-4315,1724,
322,-1912,1224,1949,-4075,1433,
470,-1962,1211,2117,-3747,1352,
503,-1797,1290,2477,-3591,1337,
473,-1640,1341,2687,-3579,896,
626,-1751,1336,3176,-3401,742,
575,-1872,1373,3886,-3283,469,
642,-1987,1441,4934,-3199,370,
749,-2089,1398,6357,-2950,407,
954,-2017,1443,7664,-2715,1181,
1026,-1699,1504,8056,-2346,2056,
896,-1704,1284,8422,-2183,2518,
897,-1520,1233,8529,-2048,3036,
818,-1162,1206,8490,-2094,2985,
891,-663,1369,7821,-2129,2764,
846,-429,1515,6920,-2208,2078,
1022,-627,1484,6700,-2066,2038,
1139,-811,1419,7192,-1822,2726,
1145,-454,1578,6950,-1186,2894,
959,-531,1377,7098,-1136,3030,
854,-404,1385,7174,-1248,2844,
853,-308,1431,7001,-1356,2694,
1042,-253,1326,7321,-1182,2530,
1015,-85,1286,7323,-1044,3113,
993,175,1205,7710,-849,3137,
980,636,1375,7296,-772,2887,
1112,801,1251,7736,-604,2570,
1228,1777,1451,6946,-456,2085,
1139,2119,1554,5886,-423,982,
1269,2051,1655,5152,-124,156,
1451,1564,1634,5037,858,-3,
1365,1413,1646,5131,1836,524,
